Név|Konzol|Műfaj|Kiadó|Fejlesztő|Kritikusi pontszám|Összes eladás|Kiadás éve
Madagascar|PS2|Platformer|Activision|Toys for Bob|6.4|1.31|2005
The Beatles: Rock Band|X360|Egyéb|MTV Games|Harmonix Music Systems|8.9|1.31|2009
[Prototype]|X360|Akció|Activision|Radical Entertainment|7.9|1.31|2009
FIFA 14|XOne|Sport|EA Sports|EA Canada|7.3|1.31|2013
LEGO Batman: The Videogame|PS3|Kaland|Warner Bros. Interactive|Traveller's Tales|7.2|1.31|2008
Rugrats Studio Tour|PS|Kaland|THQ|n-Space|7.3|1.31|1999
IHRA Drag Racing 2|PS2|Versenyzős|Bethesda Softworks|Bethesda Softworks|7.3|1.31|2002
Burnout 3: Takedown|XB|Versenyzős|Electronic Arts|Criterion Games|9.3|1.31|2004
EA Sports UFC 2|PS4|Sport|EA Sports|EA Canada|7.3|1.31|2016
Assassin's Creed: Rogue|PS3|Akció|Ubisoft|Ubisoft Sofia|7.3|1.3|2014
LEGO Batman: The Videogame|PSP|Kaland|Warner Bros. Interactive|Traveller's Tales|7.9|1.3|2008
NBA Live 07|PS2|Sport|EA Sports|EA Canada|6.3|1.3|2006
Digimon World|PS|Szerepjáték|Bandai|Bandai|7.3|1.3|2000
SingStar '80s|PS2|Egyéb|Sony Computer Entertainment|SCEE London Studio|7.3|1.3|2007
Test Drive 5|PS|Versenyzős|Accolade|Pitbull Syndicate|7.3|1.3|1998
Yu-Gi-Oh! The Sacred Cards|GBA|Szerepjáték|Konami|Konami|7.3|1.3|2003
Gold's Gym: Cardio Workout|Wii|Sport|Ubisoft|Rocket Company|7.3|1.29|2009
Transformers|PS2|Lövöldözős|Atari|Melbourne House|7.8|1.29|2004
High School Musical 3: Senior Year DANCE!|Wii|Egyéb|Disney Interactive Studios|Page 44 Studios|7.3|1.29|2008
Dark Souls II|PS3|Szerepjáték|Namco Bandai Games|From Software|7.3|1.29|2015
LEGO Battles|DS|Stratégia|Warner Bros. Interactive|Hellbent Games|7.3|1.29|2009
Mega Man Battle Network 3 Blue / White Version|GBA|Szerepjáték|Capcom|Capcom|7.3|1.29|2003
Pirates of the Caribbean: The Curse of the Black Pearl|GBA|Platformer|TDK Mediactive|Pocket Studios|7.3|1.29|2003
Deal or No Deal|Wii|Egyéb|Zoo Games|Black Lantern Studios|7.3|1.29|2009
The Last Guardian|PS4|Akció-kaland|Sony Interactive Entertainment|SIE Japan Studio|7.9|1.29|2016
EA Playground|Wii|Sport|Electronic Arts|EA Canada|7.3|1.29|2007
Watch Dogs|X360|Akció-kaland|Ubisoft|Ubisoft Montreal|7.3|1.29|2014
WWE 2K16|PS4|Sport|Take-Two Interactive|Yuke's|7.3|1.29|2015
Midnight Club 3: DUB Edition (America weekly sales)|PS2|Versenyzős|Rockstar Games|Rockstar San Diego|7.3|1.29|2005
Champions of Norrath|PS2|Szerepjáték|Sony Online Entertainment|Snowblind Studios|8.5|1.28|2004
Army Men 3D|PS|Akció|3DO|3DO|7.3|1.28|1999
Manhunt|PS2|Akció|Rockstar Games|Rockstar North|8.0|1.28|2003
Injustice: Gods Among Us|PS3|Harcolós|Warner Bros. Interactive Entertainment|NetherRealm Studios|7.3|1.28|2013
Twisted Metal 4|PS|Versenyzős|989 Studios|989 Studios|6.7|1.28|1999
Need for Speed Carbon|Wii|Versenyzős|Electronic Arts|EA Black Box|6.4|1.28|2006
Imagine: Wedding Designer|DS|Szimuláció|Ubisoft|Virtual Toys / Lexis Numerique|7.3|1.28|2008
Borderlands: The Handsome Collection|PS4|Lövöldözős|2K Games|Gearbox Software|7.3|1.28|2015
Project CARS|PS4|Versenyzős|Bandai Namco Games|Slightly Mad Studios|7.3|1.28|2015
.hack//Infection Part 1|PS2|Szerepjáték|Bandai|CyberConnect2|7.7|1.27|2003
Guitar Hero: Aerosmith|Wii|Egyéb|Activision|Vicarious Visions|7.3|1.27|2008
Atlantis|2600|Lövöldözős|Imagic|Imagic|7.3|1.27|1982
LEGO Batman: The Videogame|PS2|Kaland|Warner Bros. Interactive|Traveller's Tales|7.6|1.27|2008
Need for Speed Rivals|PS3|Versenyzős|Electronic Arts|Ghost Games|7.3|1.27|2013
NBA 2K9|X360|Sport|2K Sports|Visual Concepts|8.3|1.27|2008
WWE '13|X360|Egyéb|THQ|Unknown|7.3|1.27|2012
Destiny: The Taken King|XOne|Lövöldözős|Activision|Bungie|7.3|1.27|2015
Tony Hawk's Underground|XB|Sport|Activision|Neversoft Entertainment|7.3|1.27|2003
Jillian Michaels' Fitness Ultimatum 2009|Wii|Sport|Majesco|3G Studios|7.3|1.27|2008
EA Sports Active 2|Wii|Sport|Electronic Arts|EA Vancouver|8.0|1.27|2010
Jet Li: Rise to Honor|PS2|Akció|Sony Computer Entertainment|Sony Computer Entertainment America|7.3|1.27|2004
WWE '12|X360|Harcolós|THQ|Yuke's Co., Ltd.|7.5|1.27|2011
Castlevania: Symphony of the Night|PS|Platformer|Konami|Konami Computer Entertainment Tokyo|9.3|1.27|1997
The Sims 2: Nightlife|PC|Szimuláció|Electronic Arts|Maxis|7.5|1.27|2005
Battle Arena Toshinden|PS|Harcolós|Sony Computer Entertainment|Tamsoft|7.3|1.27|1995
Road Rash|PS|Versenyzős|Electronic Arts|Advanced Technology Group|7.3|1.27|1995
SOCOM: U.S. Navy SEALs Confrontation|PS3|Lövöldözős|Sony Computer Entertainment|Slant Six Games|6.3|1.26|2008
Brian Lara Cricket|PS|Sport|Codemasters|Codemasters|7.3|1.26|1998
Rockstar Games presents Table Tennis|Wii|Sport|Rockstar Games|Rockstar San Diego|6.8|1.26|2007
Kung Fu Panda|DS|Platformer|Activision|Vicarious Visions|7.3|1.26|2008
LEGO Harry Potter: Years 5-7|Wii|Akció|Warner Bros. Interactive|Traveller's Tales|7.3|1.26|2011
Assassin's Creed: Bloodlines|PSP|Akció|Ubisoft|Griptonite Studio|6.3|1.26|2009
Football Manager 2011|PC|Sport|Sega|Sports Interactive|8.9|1.26|2010
Wheel of Fortune|PS|Egyéb|Hasbro Interactive|Artech Studios|7.3|1.26|1998
Tomb Raider: Underworld|PS3|Kaland|Eidos Interactive|Crystal Dynamics|7.8|1.26|2008
Far Cry 4|PS3|Lövöldözős|Ubisoft|Ubisoft Montreal|7.3|1.26|2014
Devil Dice|PS|Logikai|THQ|Shift|7.3|1.26|1998
Gegege no Kitarou 2: Youkai Gundan no Chousen|NES|Szerepjáték|Bandai|Bandai|7.3|1.25|1987
RollerCoaster Tycoon 2|PC|Stratégia|Atari|Chris Sawyer|7.3|1.25|2002
Star Wars: The Force Unleashed|PS2|Akció|LucasArts|Krome Studios|7.3|1.25|2008
Road Rash 3D|PS|Versenyzős|Electronic Arts|Electronic Arts|7.3|1.25|1998
Lara Croft Tomb Raider: The Angel of Darkness|PS2|Akció|Eidos Interactive|Core Design Ltd.|7.3|1.25|2003
NBA Live 2001|PS|Sport|EA Sports|EA Canada|7.3|1.25|2000
Cars 2|DS|Versenyzős|Disney Interactive Studios|Avalanche Software|6.5|1.25|2011
Black|PS2|Lövöldözős|Electronic Arts|Criterion Games|7.7|1.25|2006
Tom Clancy's Splinter Cell: Pandora Tomorrow|PS2|Akció|Ubisoft|Ubisoft Shanghai|7.3|1.25|2004
Tom Clancy's Rainbow Six: Vegas|PS3|Lövöldözős|Ubisoft|Ubisoft|7.3|1.25|2007
Winter Sports: The Ultimate Challenge|Wii|Sport|Conspiracy Entertainment|49Games|7.3|1.25|2007
Need for Speed: Most Wanted|X360|Versenyzős|Electronic Arts|Electronic Arts|8.4|1.25|2005
Ratatouille|DS|Platformer|THQ|Helixe|7.0|1.25|2007
Reel Fishing|PS|Sport|Natsume|Pack-In Video|7.3|1.25|1998
Dragon Ball: Daimaou Fukkatsu|NES|Szerepjáték|Bandai|TOSE|7.3|1.25|1988
Combat|2600|Akció|Atari|Atari|7.3|1.25|1977
FIFA Street (2012)|PS3|Sport|EA Sports|EA Canada|7.3|1.25|2012
Star Wars Episode III: Revenge of the Sith|XB|Akció|LucasArts|The Collective|7.3|1.24|2005
Need for Speed Carbon|PS3|Versenyzős|Electronic Arts|EA Black Box|7.8|1.24|2006
Transformers: Autobots / Decepticons|DS|Akció|Activision|Vicarious Visions|7.3|1.24|2007
Ridge Racer V|PS2|Versenyzős|Namco|Namco|7.3|1.24|2000
Oddworld: Abe's Oddysee|PS|Platformer|GT Interactive|Oddworld Inhabitants|8.3|1.24|1997
WWE SmackDown vs. Raw 2009|PS2|Sport|THQ|Yuke's Media Creations|7.3|1.24|2008
Battlefield: Hardline|XOne|Lövöldözős|Electronic Arts|EA DICE|7.3|1.24|2015
LEGO The Lord of the Rings|X360|Egyéb|Warner Bros. Interactive Entertainment|Unknown|7.3|1.24|2012
[Prototype]|PS3|Akció|Activision|Radical Entertainment|8.1|1.24|2009
Baldur's Gate: Dark Alliance|PS2|Szerepjáték|VU Games|Snowblind Studios|7.3|1.24|2001
2010 FIFA World Cup South Africa|PS3|Sport|EA Sports|EA Canada|8.2|1.23|2010
Ben 10: Protector of Earth|Wii|Akció|D3 Publisher|High Voltage Software|7.3|1.23|2007
Guitar Hero: Aerosmith|X360|Egyéb|Activision|Neversoft|7.3|1.23|2008
Driv3r|PS2|Versenyzős|Atari|Reflections Interactive|7.3|1.23|2004
Crash Bandicoot: The Wrath of Cortex|XB|Platformer|Universal Interactive|Traveller's Tales|7.3|1.23|2002
Frogger: The Great Quest|PS2|Platformer|Konami|Konami|3.0|1.23|2001
Donkey Kong Country 2|GBA|Platformer|Nintendo|Rare Ltd.|7.6|1.23|2004
Castlevania|NES|Platformer|Konami|Konami|7.3|1.23|1987
Spongebob Squarepants: Battle for Bikini Bottom|GBA|Platformer|THQ|Vicarious Visions|7.3|1.23|2003
LEGO Batman 2: DC Super Heroes|PS3|Akció-kaland|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|1.23|2012
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game|PS|Egyéb|Sony Computer Entertainment|Various|7.3|1.23|2003
Vigilante 8|PS|Versenyzős|Activision|Luxoflux, Inc.|7.3|1.23|1998
SimCity 2000|PS|Szimuláció|Maxis|Maxis|7.3|1.22|1996
WWE 2K17|PS4|Sport|2K Games|Yuke's|7.3|1.22|2016
WCW Mayhem|PS|Harcolós|Electronic Arts|Kodiak Interactive|7.3|1.22|1999
Star Wars Battlefront II|PSP|Lövöldözős|LucasArts|Savage Entertainment|6.9|1.22|2005
NBA Live 99|PS|Sport|EA Sports|NuFX|8.3|1.22|1998
NASCAR Thunder 2003|PS2|Versenyzős|EA Sports|EA Tiburon|7.3|1.22|2002
NBA 2K2|PS2|Sport|Sega|Visual Concepts|7.3|1.22|2002
Parfait: Chocolat Second Style|PS2|Kaland|Alchemist|Alchemist|7.3|1.22|2006
Intelligent Qube|PS|Logikai|Sony Computer Entertainment|Sony Computer Entertainment|7.4|1.22|1997
Pac-Man|NES|Logikai|Namco|Namco|7.3|1.22|1993
Max Payne|XB|Lövöldözős|Rockstar Games|neo Software|8.6|1.22|2001
Cars|PSP|Versenyzős|THQ|Locomotive Games|7.4|1.21|2006
Test Drive 4|PS|Versenyzős|Accolade|Pitbull Syndicate|7.3|1.21|1997
The Sims 2: Castaway|Wii|Szimuláció|Electronic Arts|Maxis|7.3|1.21|2007
Cars|PS2|Versenyzős|THQ|Rainbow Studios|7.3|1.21|2006
Just Dance 4|X360|Zene|Ubisoft|Ubisoft|7.3|1.21|2012
Call of Duty: Finest Hour|XB|Lövöldözős|Activision|Spark Unlimited|7.3|1.21|2004
Sly Cooper and the Thievius Raccoonus|PS2|Platformer|Sony Computer Entertainment|Sucker Punch|7.3|1.21|2002
Fuzion Frenzy|XB|Egyéb|Microsoft|Blitz Games|7.3|1.21|2001
FIFA 07 Soccer|PSP|Sport|EA Sports|EA Canada|8.0|1.21|2006
Need for Speed Underground|GC|Versenyzős|Electronic Arts|EA Black Box|7.3|1.21|2003
Bayonetta|PS3|Akció|Sega|PlatinumGames|8.6|1.21|2010
Shrek / Shrek 2 2-in-1 Gameboy Advance Video|GBA|Egyéb|Majesco|Majesco Games|7.3|1.21|2007
FIFA Soccer 11|PSP|Sport|EA Sports|HB Studios|7.0|1.21|2010
Medal of Honor: Airborne|PS3|Lövöldözős|Electronic Arts|EA Los Angeles|7.3|1.21|2007
Guitar Hero Live|PS4|Zene|Activision|FreeStyleGames|7.3|1.21|2015
Star Wars Episode 1: Jedi Power Battles|PS|Akció|LucasArts|LucasArts|7.3|1.21|2000
NFL 2K|DC|Sport|Sega|Visual Concepts|9.7|1.2|1999
The Lord of the Rings: The Fellowship of the Ring|PS2|Akció|Black Label Games|Surreal Software|7.3|1.2|2002
F1 2011|PS3|Versenyzős|Codemasters|Codemasters Birmingham|8.4|1.2|2011
ATV Offroad Fury 3|PS2|Versenyzős|Sony Computer Entertainment|Climax Group|7.5|1.2|2004
Ganbare Goemon! Karakuri Douchuu|NES|Platformer|Konami|Konami|7.3|1.2|1986
Metal Gear Solid V: Ground Zeroes|PS4|Akció-kaland|Konami Digital Entertainment|Kojima Productions|7.6|1.2|2014
Dragon Ball Z: La Legende Saien|SNES|Harcolós|Bandai|TOSE|7.3|1.2|1994
TwinBee|NES|Lövöldözős|Konami|Konami|7.3|1.2|1986
Enter the Matrix|XB|Akció|Atari|Shiny Entertainment|7.3|1.2|2003
NHL 2002|PS2|Sport|EA Sports|EA Canada|7.3|1.2|2001
WWE 2K14|PS3|Harcolós|2K Sports|Yuke's|7.6|1.2|2013
Mad Max (2013)|PS4|Akció|Warner Bros. Interactive Entertainment|Avalanche Studios|7.3|1.2|2015
Shadow of the Colossus|PS4|Akció-kaland|Sony Interactive Entertainment|Bluepoint Games|9.3|1.2|2018
World Soccer Winning Eleven 9 (JP & Others sales)|PSP|Sport|Konami|Konami Computer Entertainment Tokyo|8.0|1.2|2006
Minecraft: Story Mode|X360|Kaland|Mojang|Telltale Games|7.3|1.2|2015
Mario & Sonic at the London 2012 Olympic Games|3DS|Sport|Sega|Sega|6.5|1.19|2012
SpongeBob SquarePants: Revenge of the Flying Dutchman|GBA|Akció|THQ|Vicarious Visions|7.3|1.19|2002
Disney Sing It|Wii|Egyéb|Disney Interactive Studios|Zoe Mode|7.3|1.19|2008
The Simpsons: Road Rage|GBA|Versenyzős|THQ|Altron|7.3|1.19|2003
WWE SmackDown vs Raw 2008|PSP|Harcolós|THQ|Yuke's Media Creations|7.3|1.19|2007
Pro Evolution Soccer 2008|Wii|Sport|Konami|Konami|7.3|1.19|2008
LEGO Indiana Jones 2: The Adventure Continues|DS|Kaland|LucasArts|Traveller's Tales|7.3|1.19|2009
Nuclear Strike|PS|Szimuláció|Electronic Arts|Electronic Arts|7.3|1.19|1997
Spider-Man: The Movie|GC|Akció|Activision|Treyarch|7.6|1.19|2002
Hitman 2: Silent Assassin|XB|Akció|Eidos Interactive|IO Interactive|7.3|1.19|2002
Scarface: The World is Yours|PS2|Kaland|Sierra Entertainment|Radical Entertainment|7.3|1.19|2006
Metal Gear Solid: Portable Ops|PSP|Akció|Konami|Kojima Productions|8.7|1.19|2006
LEGO Star Wars III: The Clone Wars|PS3|Akció|LucasArts|Traveller's Tales|8.0|1.18|2011
WWE '12|PS3|Harcolós|THQ|Yuke's Co., Ltd.|9.0|1.18|2011
Resident Evil: Operation Raccoon City|PS3|Lövöldözős|Capcom|Slant Six Games|7.3|1.18|2012
Inazuma Eleven 2: Kyoui no Shinryokusha - Fire / Blizzard|DS|Szerepjáték|Level 5|Level 5|7.3|1.18|2009
Metal Gear Solid VR Missions|PS|Kaland|Konami|Konami Computer Entertainment Japan|6.8|1.18|1999
Pole Position|2600|Versenyzős|Atari|Atari|7.3|1.18|1983
Medal of Honor: Warfighter|X360|Lövöldözős|Electronic Arts|Danger Close Games|7.3|1.18|2012
Tony Hawk's Pro Skater 2|GBA|Sport|Activision|Vicarious Visions|8.9|1.18|2001
R.B.I. Baseball 3|NES|Sport|Tengen|Namco|7.3|1.18|1991
LEGO Dimensions|PS4|Akció|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|1.18|2015
LEGO Jurassic World|PS4|Akció|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|1.18|2015
Red Dead Redemption: Undead Nightmare|PS3|Akció|Rockstar Games|Rockstar San Diego|10.0|1.18|2010
LEGO Indiana Jones: The Original Adventures|PSP|Kaland|LucasArts|Traveller's Tales|7.6|1.18|2008
WWE SmackDown vs. Raw 2010|PS3|Harcolós|THQ|JAKKS Pacific|8.1|1.17|2009
Soviet Strike|PS|Szimuláció|Electronic Arts|EA Tiburon|7.3|1.17|1996
Medal of Honor: Rising Sun|XB|Lövöldözős|Electronic Arts|EA Los Angeles|7.3|1.17|2003
Ty the Tasmanian Tiger|PS2|Platformer|Electronic Arts|Krome Studios|6.2|1.17|2002
Mission: Impossible|N64|Akció|Ocean|Infogrames|6.6|1.17|1998
Rage Racer|PS|Versenyzős|Namco|Namco|7.3|1.17|1997
Army of Two|PS3|Lövöldözős|Electronic Arts|EA Montreal|7.4|1.17|2008
Cool Boarders 4|PS|Sport|989 Studios|Idol Minds Digital Entertainment|7.3|1.17|1999
Gun|PS2|Lövöldözős|Activision|Neversoft Entertainment|7.3|1.17|2005
Cabela's Dangerous Hunts|PS2|Sport|Activision|Sand Grain Studios|7.3|1.17|2003
Medal of Honor Heroes 2|PSP|Lövöldözős|Electronic Arts|Team Fusion|6.6|1.16|2007
Sega Rally Championship|SAT|Versenyzős|Sega|Sega-AM3|7.3|1.16|1995
Yu-Gi-Oh! The Sacred Cards (American and Others sales)|GBA|Szerepjáték|Konami|Konami|7.3|1.16|2003
Sniper: Ghost Warrior|X360|Lövöldözős|City Interactive|City Interactive|4.3|1.16|2010
NASCAR Thunder 2002|PS2|Versenyzős|EA Sports|EA Tiburon|7.3|1.16|2001
Midnight Club 3: DUB Edition Remix|PS2|Versenyzős|Rockstar Games|Rockstar San Diego|7.3|1.16|2006
MLB The Show 17|PS4|Sport|Sony Interactive Entertainment|SIE San Diego Studio|7.3|1.16|2017
WWE 2K15|PS4|Sport|2K Sports|Visual Concepts|7.3|1.16|2014
FIFA Soccer 10|PSP|Sport|EA Sports|EA Canada|7.9|1.16|2009
Your Shape: Fitness Evolved 2012|X360|Sport|Ubisoft|Ubisoft Montreal|7.3|1.16|2011
Spore|PC|Stratégia|Electronic Arts|Maxis|7.0|1.16|2008
Test Drive: Off Road|PS|Versenyzős|Accolade|Motivetime|7.3|1.16|1997
Bushido Blade|PS|Harcolós|Sony Computer Entertainment|Light Weight|8.2|1.16|1997
Tom Clancy's Ghost Recon: Jungle Storm|PS2|Lövöldözős|Ubisoft|Red Storm Entertainment|7.3|1.16|2004
EA Sports Active: More Workouts|Wii|Sport|EA Sports|EA Vancouver|7.9|1.16|2009
Mirror's Edge|X360|Platformer|Electronic Arts|EA Digital Illusions CE|7.6|1.16|2008
Sunset Overdrive|XOne|Akció|Microsoft Studios|Insomniac Games|8.0|1.16|2014
LEGO Star Wars: The Video Game|XB|Akció|Eidos Interactive|Traveller's Tales|8.0|1.16|2005
Puyo Puyo Sun Ketteiban|PS|Logikai|Compile|Compile|7.3|1.15|1997
Kaboom!|2600|Akció|Activision|Activision|7.3|1.15|1981
Worldwide Soccer Manager 2009|PC|Szimuláció|Sega|Sports Interactive|7.3|1.15|2008
The Elder Scrolls V: Skyrim|NS|Szerepjáték|Bethesda Softworks|Bethesda Softworks|8.6|1.15|2017
Doraemon|NES|Akció|Hudson Soft|Hudson Soft|7.3|1.15|1986
Asteroids|PS|Lövöldözős|Activision|Syrox Developments|7.3|1.15|1998
Gauntlet: Dark Legacy|PS2|Akció|Midway Games|Midway Games West|7.3|1.15|2001
Derby Stallion III|SNES|Sport|ASCII Entertainment|ASCII Entertainment|7.3|1.15|1995
Tak and the Power of Juju|PS2|Platformer|THQ|Avalanche Software|7.3|1.15|2003
High School Musical 2: Work This Out!|DS|Egyéb|Disney Interactive Studios|Artificial Mind and Movement|7.3|1.15|2008
Bad Boys: Miami Takedown|PS2|Lövöldözős|Crave Entertainment|Blitz Games|7.3|1.15|2004
Middle-Earth: Shadow of War|XOne|Akció|Warner Bros. Interactive Entertainment|Monolith Productions|7.3|1.15|2017
Dragon Quest VIII: Journey of the Cursed King|3DS|Szerepjáték|Nintendo|Level 5 / Armor Project|8.8|1.15|2017
Lego Marvel Super Heroes|XOne|Akció|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|1.15|2013
Call of Duty 4: Modern Warfare|PC|Lövöldözős|Activision|Infinity Ward|9.3|1.15|2007
Mobile Suit Gundam: Federation vs. Zeon|PS2|Szimuláció|Bandai|Bandai|7.3|1.14|2002
Hot Shots Golf: Out of Bounds|PS3|Sport|Sony Computer Entertainment|Clap Hanz|8.3|1.14|2008
The Lord of the Rings: The Return of the King|XB|Akció|Electronic Arts|Hypnos Entertainment, Inc.|8.8|1.14|2003
South Park|N64|Lövöldözős|Acclaim Entertainment|Iguana Entertainment|6.0|1.14|1998
LEGO Worlds|PS4|Egyéb|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|1.14|2017
Grand Theft Auto: The Trilogy|PS2|Kaland|Rockstar Games|Rockstar North|7.3|1.14|2005
Brave Fencer Musashi|PS|Szerepjáték|Square|SquareSoft|8.4|1.14|1998
Shadow of the Colossus|PS2|Kaland|Sony Computer Entertainment|Team ICO|9.1|1.14|2005
Action Bass|PS|Akció|Take-Two Interactive|Unknown|5.1|1.14|2000
Tenchu: Wrath of Heaven|PS2|Akció|Activision|K2 LLC|7.3|1.14|2003
Final Fantasy XV|XOne|Szerepjáték|Square Enix|Square Enix|7.3|1.14|2016
Dance Dance Revolution Extreme 2|PS2|Szimuláció|Konami|Konami Computer Entertainment Hawaii|7.3|1.14|2005
LEGO Star Wars III: The Clone Wars|3DS|Akció|LucasArts|Traveller's Tales|6.7|1.14|2011
Mortal Kombat|X360|Harcolós|Warner Bros. Interactive|NetherRealm Studios|8.3|1.14|2011
Need for Speed Underground 2|GC|Versenyzős|Electronic Arts|EA Black Box|7.3|1.14|2004
LEGO Star Wars: The Video Game|GBA|Akció|Eidos Interactive|Amaze Entertainment|7.4|1.14|2005
007: Quantum of Solace|PS3|Lövöldözős|Activision|Treyarch|6.6|1.14|2008
The Elder Scrolls V: Skyrim VR|PS4|Szerepjáték|Bethesda Softworks|Bethesda Softworks|7.3|1.13|2017
Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales)|GBA|Szerepjáték|Nintendo|ChunSoft|7.3|1.13|2006
MechAssault|XB|Szimuláció|Microsoft Game Studios|Day 1 Studios|7.3|1.13|2002
NCAA Football 14|X360|Sport|EA Sports|EA Tiburon|7.6|1.13|2013
Derby Stallion 99|PS|Sport|ASCII Entertainment|ParityBit|7.3|1.13|1999
SingStar|PS3|Egyéb|Sony Computer Entertainment|SCEE London Studio|7.3|1.13|2008
Rocksmith|PS3|Egyéb|Ubisoft|Ubisoft|8.0|1.13|2011
Rabbids Go Home|Wii|Kaland|Ubisoft|Ubisoft Montpellier|8.0|1.13|2009
Fight Night Champion|PS3|Harcolós|EA Sports|EA Canada|8.4|1.13|2011
Tom Clancy's Rainbow Six 3: Black Arrow|XB|Lövöldözős|Ubisoft|Ubisoft Montreal|7.3|1.13|2004
Guitar Hero 5|X360|Egyéb|Activision|Neversoft Entertainment|9.0|1.13|2009
Rocksmith|X360|Egyéb|Ubisoft|Ubisoft|8.0|1.13|2011
ModNation Racers|PS3|Versenyzős|Sony Computer Entertainment|United Front Games|8.1|1.13|2010
Plants vs Zombies: Garden Warfare|X360|Lövöldözős|Electronic Arts|PopCap Games|8.0|1.13|2014
Jampack Winter '98|PS|Egyéb|Sony Computer Entertainment|Sony Computer Entertainment America|7.3|1.13|1998
Cars|GBA|Versenyzős|THQ|Helixe|4.5|1.13|2006
Mirror's Edge|PS3|Platformer|Electronic Arts|EA Digital Illusions CE|7.7|1.13|2008
Spider-Man 2|XB|Akció|Activision|Treyarch|7.7|1.12|2004
Call Of Duty 2: Big Red One|XB|Lövöldözős|Activision|Treyarch|7.3|1.12|2005
Supercar Street Challenge|PS2|Versenyzős|Activision|EXAKT Entertainment|7.3|1.12|2001
Crackdown 2|X360|Lövöldözős|Microsoft Game Studios|Ruffian Games|7.5|1.12|2010
WWE 2K14|X360|Harcolós|2K Sports|Yuke's|7.6|1.12|2013
Need for Speed: Most Wanted (2012)|PSV|Versenyzős|Electronic Arts|Criterion Games|7.4|1.12|2012
Dragon Age II|X360|Szerepjáték|Electronic Arts|BioWare Corp.|8.0|1.12|2011
Guitar Hero 5|PS2|Egyéb|Activision|BudCat Creations|7.3|1.12|2009
The Beatles: Rock Band|PS3|Egyéb|MTV Games|Harmonix Music Systems|8.7|1.12|2009
Moon Patrol|2600|Lövöldözős|Atari|Atari|7.3|1.12|1983
SOCOM: U.S. Navy SEALs Fireteam Bravo|PSP|Lövöldözős|Sony Computer Entertainment|Zipper Interactive|7.9|1.12|2005
Transformers: The Game|PS2|Akció|Activision|Traveller's Tales|7.3|1.11|2007
Disney Infinity 2.0: Marvel Super Heroes|X360|Akció-kaland|Disney Interactive Studios|Avalanche Software|7.3|1.11|2014
Metal Gear Solid HD Collection|PS3|Akció|Konami Digital Entertainment|Bluepoint Games|7.3|1.11|2011
Mafia III|XOne|Akció-kaland|2K Games|Hangar 13|6.8|1.11|2016
NCAA Football 13|X360|Sport|EA Sports|EA Tiburon|7.5|1.11|2012
Crash Bandicoot N. Sane Trilogy|NS|Platformer|Activision|Toys for Bob|6.0|1.11|2018
Just Dance 2016|Wii|Zene|Ubisoft|Ubisoft Paris|7.3|1.11|2015
Castlevania: Lords of Shadow|PS3|Akció|Konami|Mercury Steam|8.1|1.11|2010
Tom Clancy's Splinter Cell: Chaos Theory|XB|Akció|Ubisoft|Ubisoft Montreal|9.4|1.11|2005
Red Dead Redemption: Undead Nightmare|X360|Akció|Rockstar Games|Rockstar San Diego|10.0|1.11|2010
LEGO Marvel Super Heroes 2|PS4|Akció|Warner Bros. Interactive Entertainment|Traveller's Tales|7.3|1.11|2017
Plants vs. Zombies|DS|Stratégia|PopCap Games|PopCap Games|8.1|1.11|2011
EA Sports UFC|PS4|Harcolós|Electronic Arts|EA Canada|7.3|1.11|2014
Rock Band|PS2|Egyéb|MTV Games|Harmonix Music Systems|8.1|1.11|2007
NBA Jam Tournament Edition|GEN|Sport|Acclaim Entertainment|Iguana Entertainment|7.3|1.11|1995
Guitar Hero Encore: Rocks The 80s|PS2|Egyéb|RedOctane|Harmonix Music Systems|7.3|1.11|2007
Lode Runner|NES|Logikai|Broderbund|Hudson Soft|7.3|1.1|1987
NBA Live 2001|PS2|Sport|EA Sports|EA Canada|7.3|1.1|2001
FIFA 18|NS|Sport|EA Sports|EA Vancouver|5.8|1.1|2017
SingStar Legends|PS2|Egyéb|Sony Computer Entertainment|SCEE London Studio|7.3|1.1|2008
Petz Dogz 2|DS|Szimuláció|Ubisoft|Yuke's Media Creations|7.3|1.1|2007
Megamania|2600|Lövöldözős|Activision|Activision|7.3|1.1|1982
Jungle Hunt|2600|Platformer|Atari|Atari|7.3|1.1|1983
LEGO Star Wars III: The Clone Wars|DS|Akció|LucasArts|Traveller's Tales|6.3|1.1|2011
Need for Speed: ProStreet|Wii|Versenyzős|Electronic Arts|EA Black Box|7.3|1.1|2007
Famicom Jump: Eiyuu Retsuden|NES|Szerepjáték|Bandai|TOSE|7.3|1.1|1989
Guitar Hero 5|PS3|Egyéb|Activision|Neversoft Entertainment|8.8|1.1|2009
Skylanders SWAP Force|PS3|Egyéb|Activision|Unknown|7.3|1.1|2013
